S.No,Module,Role,Side bar item,Feature,Description,Criticality,Issue raised Date,Status,Issue closed date,Assigned to,Tester comments,Developer comments
14,Incubator,Super User,Upload,The button at the bottom,Should be just UPLOAD; not UPLOAD & EVALUATE,Req as per Design,4-Aug-2026,Closed,25-Aug-2026,Jay,,Button reads UPLOAD on both single and bulk upload.
15,Incubator,Super User,Query,On the top row,There should be two TABS: FOUNDER QUERIES and EMAIL QUERY,Req as per Design,4-Aug-2026,Closed,25-Aug-2026,Jay,,"Two tabs added on the top row: FOUNDER QUERIES and EMAIL QUERY, with a live count of selected founders on the second tab."
16,Incubator,Super User,Query,The first TAB,"The FIRST tab should be like the image1 on the side of this table. It should show STARTUP, FOUNDER, PHONE, EMAIL, STATUS and PARAMETERS NEEDING RESPONSE. On clicking the respective startup check box or all startups, email query tab opens with a email message (asking them to reply with their deck updated with their respective attachment AREAS REQUIRING RESPONSE or a link where the founder can access only their portion of the AREAS REQUIRING RESPONSE",Req as per Design,4-Aug-2026,Closed,25-Aug-2026,Jay,,"Tab 1 shows STARTUP / FOUNDER / PHONE / EMAIL / STATUS / PARAMETERS NEEDING RESPONSE with a checkbox per row and a select-all. Ticking any row (or all) opens the Email query tab pre-loaded with those founders and a message listing that founder's own areas plus a link to their portal, where they see only their portion. Each founder receives their own copy; a real email is sent per startup."
17,Incubator,Super User,Query,The first TAB,"On clicking the STARTUP, it should show AREAS REQUIRING RESPONSE",Req as per Design,4-Aug-2026,Closed,25-Aug-2026,Jay,,"Clicking the startup name opens its AREAS REQUIRING RESPONSE, built from real evaluation state: missing required founder details, deck slides the extraction found absent, and core evaluation areas the AI scored below the workspace threshold. Queries already sent are listed underneath."
18,Incubator,Super User,Query,The second TAB,it should have the facility to email the STARTUPS by clicking SEND QUERY. as per image2 on the side of the table here,Req as per Design,4-Aug-2026,Closed,25-Aug-2026,Jay,,"Tab 2 shows the recipients as removable chips, an editable subject and body pre-filled from the flagged areas, and a SEND QUERY button that records and emails one query per selected startup."
19,Incubator,Super User,Evaluate,Three panels,"It should have three panels. first, startup with overview details. second, the evaluation parameters. third, the view of the parameters clicked on the second panel. refer to the image4 on the side of this table.",Req as per Design,4-Aug-2026,Closed,25-Aug-2026,Jay,,"Rebuilt as three panels: (1) startups with their overview details, AI score, flags and status, (2) the evaluation parameters (your additional parameters, then the core areas), (3) the clicked parameter's evaluation prompt, rubric anchors, weight and the AI's score and remark for the selected startup. The full scoring workbench opens from the row's Score button and is unchanged."
20,Incubator,Super User,Evaluate,The evaluation report,"Should be as per image3 on the side of the table here, where additional columns keep adding as the deck pasess hands.",Req as per Design,4-Aug-2026,Closed,25-Aug-2026,Jay,,"New consolidated evaluation report: an AI column plus one column per evaluator who has scored the deck, each headed by their name and organizational title. The report widens automatically as the deck passes from associate to jury to programme manager. Opens from any score cell or the View scores column on every pipeline screen."
21,Incubator,Super User,Evaluate,The evaluation report,"The evaluators up the journey from Prog associate to jury to Prog manager, can view the scores given by the evaluators lower in the hierarchy but lower guys must not be able to view the evaluators' scores up in the hierarchy",Req as per Design,4-Aug-2026,Closed,25-Aug-2026,Jay,,"Enforced on the server, not just hidden in the screen. Program Associate sees AI plus their own; Jury sees AI, Associate and their own; Program Manager sees AI, Associate, Jury and their own; Admin and Super User see all. A lower evaluator's browser never receives the higher scores at all - only a count of how many were withheld. Covered by automated tests at every level."
22,Incubator,Super User,Assign,The four panels,The four panels must be as per the image5 on the side of this tabel here,Req as per Design,4-Aug-2026,Closed,25-Aug-2026,Jay,,"Rebuilt as four panels: evaluated decks (multi-select) / role / members of that role with their current workload / assignment summary and Confirm. Selecting several members spreads the selected decks across them evenly, and panel 4 shows exactly which deck goes to whom before anything is saved. Assignment is no longer restricted to jury members."
23,Incubator,All roles,General,The column with Core Parameters,Whenever you click the tab the report should look like the image6 on the side of this table,Req as per Design,4-Aug-2026,Closed,25-Aug-2026,Jay,,"Clicking any score (AI, Jury or Average) on any pipeline screen opens the report on its CORE PARAMETERS tab: the 13 core areas with their weights, one column per visible evaluator, hover for that evaluator's remark."
24,Incubator,All roles,General,The column with Addl parameters,Whenever you click the tab the report should look like the image7 on the side of this table,Req as per Design,4-Aug-2026,Closed,25-Aug-2026,Jay,,"The Addl. Parameter scores column opens the report on its ADDL. PARAMETERS tab: each owning role's three additional parameters grouped by role, one column per visible evaluator. Same hierarchy rules apply."
25,Incubator,Super User,Jury Pipeline,The screen is not as per design,The screen should be as per image8 on the side of this table,Req as per Design,7-Aug-2026,Closed,25-Aug-2026,Jay,,"Rebuilt to the design column set: Startup / Jury members and status / AI score / Jury score / Avg. score / Addl. Parameter scores / Assigned date / Status / Action, with the status legend below the table."
26,Incubator,Super User,Prog manager piepline Pipeline,The item on the side bar and the screen is missing,The screen should be as per image9 on the side of this table,Req as per Design,7-Aug-2026,Closed,25-Aug-2026,Jay,,"New sidebar item and screen built - the Programme Manager's decision queue: jury-scored decks awaiting sign-off plus shortlisted startups waiting on an intro call, with the same score columns and the shortlist / reject / send-to-intro-call actions."
27,Incubator,Super User,Intro calls,The screen is not as per design,The screen should be as per image10 on the side of this table,Req as per Design,7-Aug-2026,Closed,25-Aug-2026,Jay,,"Added Jury score, Addl. Parameter scores, Call completed (with a Mark completed action) and Scheduler columns. Existing scheduling, calendar invite and email invite behaviour retained."
28,Incubator,Super User,For Sign up,The itema nd screen is Not required,Delete,Req as per Design,7-Aug-2026,Closed,25-Aug-2026,Jay,,"Deleted in full - sidebar item, route, screen configuration, tests and documentation."
29,Incubator,Super User,Signup Pipeline,The screen is not as per design,The screen should be as per image11 on the side of this table,Req as per Design,7-Aug-2026,Closed,25-Aug-2026,Jay,,"Rebuilt to the design column set including Payment status and Documents status, both editable in place. Backed by a new onboarding record per startup rather than display-only columns, with the legend below the table."
30,Incubator,Super User,Onboard ready,The screen is not as per design,The screen should be as per image12 on the side of this table,Req as per Design,7-Aug-2026,Closed,25-Aug-2026,Jay,,"Rebuilt to Startup / Cohort / Curation stage / Jury member lead / Progress, all editable and stored against the startup."
31,Incubator,Super User,Archive,The screen is not as per design,The screen should be as per image13 on the side of this table,Req as per Design,7-Aug-2026,Closed,25-Aug-2026,Jay,,"Rebuilt to Startup / Reason / Stage reached / Archived on / Archived by, read from the real audit trail, plus a Restore action that puts a startup back into the workflow."
